"POST_TITLE","POST_CONTENT"
"What’s missing in my relationship to make it happy again?","This might be a strange post as I’m an adult and should know how to have a relationship and know what I want and don’t want, but I’m struggling to work out what’s missing and what I need. LTR with baby and I’m feeling a bit lost. In the start we had sex often and I enjoyed it, he made me feel sexy and wanted (most of the time) We went on amazing dates and had great times together. Roll on to normal life after the honeymoon period ended (3 months in, sadly) and sex dropped because he didn’t want it much. I have a high sex drive and would do it daily whereas he’s happy with once a week/fortnight. I told him communication needs to improve in general as we’d lost our way and we’re like friends. We worked hard and got in a better place, moved in together and had a baby. Now I’m just feeling like a spare part in his life. Communication has dropped again, we rarely have sex and when we do there’s no foreplay etc it’s boring missionary every time and he stops once he’s cum even if I haven’t, I don’t feel desired, I feel fat from baby weight and deep down I feel like he’s not into me anymore because of this. He denies it but most men would wouldn’t they. I feel like there is so much missing that a healthy relationship should have that I broke down crying that I miss the old us. He promised to work on it but nothing has changed. We’re obviously busy with the baby but they sleep well and are no trouble, we have opportunities to talk/ date / have sex he just doesn’t take those chances. I’m fed up being the one to initiate everything and take charge and make effort to get nothing back. I told him I want to split up and co parent amicably because I want to be with someone who desires me, someone I can connect with emotionally and physically, someone romantic, someone who still dates me and makes time for us, I just don’t feel like he’s that anymore and we’re no longer compatible or it would come naturally. He begged me to give him another chance and that he’s neglected us while focusing on the baby but it will change and we can be us again. So now I feel I need to give him an ultimatum over what I actually want from him and us and that if he can’t do it then we’re over for good. I hate that it’s got to this point and that I feel like a teenager when we’re adults with a baby. Am I asking too much to want to feel loved and special? How do I word this without making demands? I want it to come naturally or it will feel awkward giving him a step by step instruction book of my requests. I read a great thread on here last week but I forgot which one it was, a poster replied to it with something that really made me wake up and realise what I deserve, now I can’t for the life of me remember what they said but in the moment it gave me the boost I needed. I’m hoping someone here knows what I’m going through and can advise how I can fix this mess one last time."
"Mobile phone masts","I know I’m being unreasonable but I can’t help it, we’re looking to move house and I don’t want to move right near a mobile phone mast the health implications concern me. But I’m finding it impossible to locate where mobile phone masts are, I’ve downloaded various apps that show you there location, they are showing about 17 “towers” in the small village where I live, there are numerous network codes “GSM” “LTE” “NR” there aren’t this many massive masts in the village and I don’t know what these codes mean. I’m a big worrier about these things, and I know that’s not normal. Do most people not give this a second thought? How close would you live to a mast? Does anyone know what these codes mean and how to actually find out where the large towers are? Thanks"
"Should I become a Ltd company? (Massage therapist)","Hi, hoping I can pick some legal brains please. I am a massage therapist. I’m currently mobile, I am a sole trader, and I have insurance (combined malpractice, public and products liability). I’m a bit of a stickler for doing things by the book, and I’m also a worrier 😂 I have a fear that someone will sue me and the insurance won’t cover it (the main exclusion I’m worried about is a client having a contraindication that means I shouldn’t treat them. I do always check with my insurers before I treat someone with a medical condition, and I don’t treat if it’s not appropriate, or I refer to GP, but STILL I WORRY! A lot of my clients are elderly ladies so there are a lot of medical things!) I’m wondering whether it would be better to become a limited company rather than being a sole trader, so that my liability is limited. BUT - in the case that I was negligent, could someone still sue me personally rather than the company? In which case all the faff of registering as a Ltd company wouldn’t be worth the hassle. In this case, is there any advantage to becoming a Ltd company? Thank you"
"Mortgage Valuation","Posting for traffic! DH and I are remortgaging - 1st time after initial fixed. When we purchased the property 2 years ago a desk top valuation was completed. Now coming to remortgage and the mortgage provider want someone to come in to the property and actually value it. The approximate value we gave to Santander is what Virgin Money gave following a desk top valuation back in July (we didn't go with them in the end because rates started going down) I've been reading up and according to ye olde interweb it's because the lender thinks we might have overstretched and therefore more risk, but a quick Zoopla search shows that what Virgin gave is slap bang in the middle of estimates, in fact we under valued it when filing out the Virgin application. I'm petrified they are going to undervalue by about £40k and bugger up our LTV! In experiences are home visit valuations becoming more normal after COVID or am I massively overthinking this?!!"
"Letter of Claim from dcb legal","Whilst the following may seem very long winded ( apologies) I would like to assure you that this is in fact a very condensed version of the events that I am desperately seeking help for. On 16.10.2023 I received (for the first time ever) from dcbl - Direct Collections Bailifs Ltd a NOTICE OF DEBT RECOVERY dated 11.10.2023 for an unpaid car parking charge - Parking Charge number: 2000012907853 which I was both unaware of and which I never even received either an actual car parking fine for (Parking Charge Notice or PCN) OR any reminder letters!? Ie the first I even heard of such a fine was through this debt collection notice, for an alleged parking offence which took place on 22.08.2023! I contacted the collection office ( dcbl) who sent the letter who advised me there was nothing they could do as this had been passed on to them by their client : Highview Parking Ltd and I needed to contact them, however the period for contesting the fine had passed so I could not even contest a fine - which I had never actually received! I could not find any contact details anywhere online for Highview Parking Ltd ( it was clearly made intentionally difficult to find online) so I contacted CAB for help and advice on (0808 223 1133) I was only able to get through to the consumer helpline who advised that they had already notified trading standards about Highview Parking not sending out parking fines but just skipping straight to their debt collection company ( dcbl - Direct Collections Bailifs Ltd) and getting them to send out collections notices, as they had already had so many complaints of this exact same problem already! They recorded my complaint and gave me reference number REF/18061193 They advised that I need to try and contact the company by email ( [email protected] ) as no physical address was found, and request a copy of the alleged car parking fine by post citing protection of freedoms act not being enforceable if the fine was not received within a 14 day period of the alleged offence and to request a :subject access request ( data protection act 2018) general data protection regulations (GDPR) which I immediately did I then received an automated response requesting proof of identity to which I responded with a copy of my drivers licence on 17.10.2023. I then received another automated email to say they would respond within 31 days!! ( this is already outside of the 14 days from the alleged offence which in itself was dated as 22.08.23) On the 30th day, by which time I had received yet another threatening letter from the collection company dcbl dated 31.10.2023, I received an email with an electronic copy of the alleged PCN ( which to date- 17.02.2024 I have still not had a copy in the post!!) which they allegedly sent me ( again neither this PCN nor any reminder PCNS were ever sent to me by post just straight into a debt collection notice) I was advised they would not engage with me further and I was unable to contest or appeal their fine with POPLA ( parking on private land) but just to contact the debt collection company dcbl to pay the £140.00 fine I strongly disagreed with this and emailed them back to raise a number of issues, Firstly that I was never parked in the car park for the alleged amount of time they had said I had in their response, but had in fact used the same car park twice in the same day ( effectively meaning that the 2.5 hour maximum stay rule was in fact not broken by myself as I had only been parked initially for around 45 minutes before leaving the car park only to return later that day, including witnesses to this) I later found out from CAB that the second biggest complaint they have had about Highview Parking is when people use the same car park on a regular basis and often multiple times a day the company try to fine them for overstaying the maximum allowed time of 2.5 hours I also raised the fact that the burden of proof is by law, on them as the claimants to provide proof that both an initial PCN was sent by post and in deed received AND to provide visual evidence that my vehicle was parked in the car park for the entire length of time which they have claimed it was, without ever leaving and returning later that day as I had already previously explained it was in order to substantiate your alleged claim of exceeding the allowable car parking time. I also questioned the unfairness of not being able to appeal the fine with POPLA. Had I have received the actual fine in the post I would have had the opportunity to immediately appeal ( or of course if I had been in breach of the terms make the initial payment of I believe in the region of £60 reduced to £40 if payed immediately so why would I have not responded!) Unfortunately they have still not responded to my questions and refuse to respond or engage with me just keep referring me to the debt collection company who by now have sent a further four letters dated: 28.11.2023 -FINAL NOTICE OF DEBT RECOVERY 27.12.2023 - NOTICE OF INTENDED LEGAL ACTION- UNPAID PARKING CHARGE £140.00 16.01.2024- SOLICITORS REMINDER LETTER - UNPAID PARKING CHARGE NOTICE AND 12.02.2023 - LETTER OF CLAIM ( asking me to pay the £140 now due) This is NOT about the money, had I have been in the wrong and had I have a actually received the original PCN I would have paid the original amount of around £60.00 ( all of these very intimidating and threatening letters continued to arrive despite my constant contacting them to raise awareness of the matter and letting them know that I was seeking advice from CAB) I have also made them aware that the company are under investigation by trading standards for the complaint I made but The most recent letter, received from dcbl today, 17.02.2023, dated 1202.23 is a LETTER OF CLAIM requesting I make the £140.00 as a ‘formal letter of claim in accordance with the Pre-action Protocol for Debt Claims’ At this point I would like to say that CAB. have now said that they don’t know what else to suggest!?! I would be so grateful if someone could please give me some advice or help in the matter as I truly am at breaking point and don’t know what else to do Thank you"
"Child Maintenance","I've been split with my dds father for 2 years now, he's always paid £120 a week for the two children which was a private arrangement but the amount was worked out on the CMS calculator at the time. He takes home around £4000 a month but I don't have access to the actual figures any more. He has just told me he will be reducing my child support to £180 a MONTH for both children and that I'm welcome to go to CMS as he has checked the figure with them. He hasn't changed jobs but is self employed. In the past he talked about how he could reduce his child support bill to his older children's mother - he said he would discuss this with his accountant and possibly start a Ltd company. I told him this was disgusting and to just pay his way properly so it was dropped. I'm now worried he has done this to me and CMS will be unable to get the full amount from him. Does anyone have any experience of this or advice? Is there a way I can report it or have it looked into?"
"middle age - not 'invisible'","maybe I'm not alone with this observation. but since being visible middle age <sobs> I get approached a lot by pre-teen children, older women, families on the train etc. often they ask direction or something from a high shelf. once a young one asked me to play along as she wanted to get a way from a creep that was following her in a shopping centre. dunno if I should be annoyed or honoured. is it an extension on wife work or instinct that if in trouble a woman is more linely to be a safe person."
"... to ask if you are in a sexually ""compatible"" relationship?","If you are in a long term relationship, do you think you are sexually compatible? I realize that what works for one couple may not work for another. For example, having vanilla PIV once per week might be way too much for one couple, and may too little for another couple, and both couples can be very happy. I have a great DH in so many respects, fortunate with jobs, finances, health, kids and many many other things. But I think we're just very different with respect to sexual compatibility. YABU: I'm in a LTR, and of course we're sexually compatible YANBU: I'm in a LTR, and no we're not really sexually compatible :( Note I'm not interested in any details. Just general comment and a yes/no/vote is OK."
"To think if you can use google maps, you can use Google?","Interview situation. Got a text saying they needed the address (it is a well known high street brand anyone local would know, especially if they have applied for a job here) I replied saying we are on <high street>, just up from x. The person text back I need the actual address so I can put it into google maps. I did send the actual street address. What would your impression of this person be? If I was not sure i would have googled the address, but aibu?"
"He doesn’t like sex","LTR and DP has admitted he doesn’t like sex very much and has a low sex drive. I knew early on he wasn’t the type of man to take the lead and rip my clothes off every day, but I learned to accept not all men are like that and enjoyed the sex for what it was as I love him and we had great chemistry outside of the bedroom. He has now told me he only has sex with me for my benefit as I have a high sex drive. This has really upset me as I thought it was a mutual need. I always have to initiate but I don’t pester, we have sex maybe once a week at most so I reach for the sex toys in between which he knows about and dislikes. He has never initiated and 9/10 he needs to take viagra. We are only 28 and 26. He did make the effort to see his gp and they didn’t have any concerns about his physical health, they suggested it may be a confidence thing or performance anxiety. He saw a counsellor for his mental health who were happy and dismissed him. I have never pushed it and never raise the subject, if he turns me down I accept it and pretend I’m fine. It makes me feel like a desperate sex pest, which I’m far from, I just long for regular sex that he also wants. We have a 2 year old and he works long hours so he is very tired which I respect, but when we have the opportunity he either isn’t in the mood or can’t get an erection. I know it’s a genuinely low sex drive and not caused by an affair or porn, but I’m looking for advice from women who have been in this position how you improved your sex life. I don’t want to leave him but I do want him to desire me and make more effort, I’m not sure if this will ever be possible."
"Having the strength to finish it","Huming and harring about putting this in mental health or not. Please be gentle - not aibu Anyway... How do you get the strength to finish it? Married 15 years. One dc (11). Living in a city. No possibilities for separating and dc remaining in same area/school. He is my best friend. I only have one true friend who is not DH. Live in EU. No family in same couhtry. Job which is like going through a wringer every week. If we separated it would be alternating weeks. He has lied and cheated. I feel like we have descended into a fucked up sister/brother or mother/son dynamic. I can't trust him and he tries to outwit (gaslight) me...unfortuantely (fortunately) I am cleverer than him. But I still enjoy his company. We can still have lots of fun, even after 20 years together. Also I love my home (3-bed shoebox flat). I love the area of town we live in. I love being in a family. I love his family. I love our family unit. I really like his friends. I like having sufficient money for a fairly decent life. If we separate most of this goes. But I can't take the up and down of the lies, the suspision, the person I turn into, being treated like a mug, the self-hatered for remaining. I am too scared to finish it. I can't face losing all the good and am not convinced that all the bad disappears once we are not romantically together. What happens when he gets a new gf (because he will) and I'm stuck like a lonely lemon every second week missing him? I hate it when I read ltb. If only life were that simple. I wish I could leave me. Just cut a body bag in space-time. The only solution. (I am having therapy btw.)"
"AIBU to offer advice?","Totally ready to be told I'm being unreasonable. Our friends (a couple) have both individually told DH that they are in a lot of debt. AIBU to offer to go through their finances with them and give them some advice? For context I'm an accountant and have helped with his tax return before (he is self employed) so they have shared an element of personal finance with me previously. In my current role I set budgets for a living. I'm not coming at this from a nosy viewpoint at all (I'm actually really busy at work and would rather not get involved) I'm just really worried about them, and I have the experience I think would help. I'm especially wondering about if it would be more beneficial for him to become a ltd co, if he is close to the vat threshold, and what their mortgage payments could look like in a year, which isn't necessarily things they would look into themselves. We are very old friends (20 years) So let me have it, would I be unreasonable to send them a text to offer?"
"Snapchat friend suggestion - does this imply a GDPR breach?","I recently joined a national professional organisation. It took some time to receive my membership pack and I had to chase them up more than once, so my confidence in their processes was a little shaky right from the start. I had some email correspondence from a <Joe.Bloggs>@<organisation>.co.uk who also called me on my mobile to discuss my query. So I've just fired up Snapchat to check my DCs activity through the family monitoring service. This is literally the only use I have for Snapchat. My DC is my only ""friend"" and all privacy settings are tightly locked down. I 100% have not allowed Snapchat to see my Contacts. But my top friend suggestion is now ""Joe Bloggs"". I can only assume that he uses Snapchat on the same phone he uses for professional calls and has shared his Contacts (including my phone number) with Snapchat, allowing it to draw a connection between us. Is this a GDPR breach, and if so how should I approach it? Regardless, I'm really disappointed and my confidence in this organisation - whose sole function is to provide support to members experiencing professional difficulties - is now really low. Advice appreciated."
"To ask how to leave when you feel so downtrodden","Been with H for 8 years, married for 5, have one child. Anyways at the start of our relationship, I was an option for about a year and I didn't know. Then he told me a year after and it felt like a kick in the teeth and the other(s) were also way more accomplished than me. Then we bought a flat and he couldn't cope because we were limited in funds and the commute was further, so I took another job to keep afloat. He got OW. Seeing as we just bought a new flat, he ended with her and we tried again. And then marriage and kids the year after. Obviously this was another smack to my self esteem throughout this and yes I should've LTB before I had the kid. But I was the idiot. Anyways we have regular arguments that I'm not doing enough again. I work full time, am a first time mum to a 1 yr old with sleep issues, have a house now to deal with. Over the week, I caught a nasty flu and today only started to feel better. My H has a thing about gym, I'm usually pretty good at my fitness but this has slipped in the last 3 months since back to work. I'm still a size 4-6 and he's going off on one about me looking haggard and fat and dumpy. And I just broke down because I was so exhausted, am also on my first day of period as well. I'm not sure with our history I can stay any more, i constantly feel like it's just not enough.j But I don't know how to separate, I have family and they know his ways but I don't know how to even start this conversation with him without him blowing up- need a handhold."
"Fighting Court Order to change Childs surname @ 5 (its been the same since birth, but ex wants his instead of mine - despite not coming to 5/6 registry appointments)","Some help would be amazing - the very short story- My son was born, we moved out of the shared flat within 2 months and mainly stayed at my parents during this time as my ex was vile, he refused to come to the registry office 5 or 6 appointments on the last he was at home and his decision was to stay at home and get drunk in the morning chain smoking in the flat with no windows open, on my return from the registry office he hit the roof as his name wasn't on the birth certificate ""I told you had to come in person I can't put you on it without you being in the room"" and then ""why have you used your surname it should be mine"" to which my reply was - YOU should have come yourself, why should I use your name if you can't be bothered to register him, which should be a enjoyable thing for most parents to do"", I packed a bag and left. and then moved out back to my parents since he took me to court sadly magistrates who were moronic at best - he didn't apply for PR so they could make a judgment they awarded it anyway, WTF it should have been thrown out, they also awarded contact something which had never been denied, he was supposed to arrive for supported contact with myself every other Saturday 10am for 2hrs - what he managed is a sorry 8 visits in over 1 year, has arranged 13 visits, has cancelled 18 visits, No show for 1 and being late on 2 or 3 has had the opportunity to visit 43 times and should have in accordance with the order. the magistrates also ordered a specific order to change my sons name mine effectively as a middle name - despite my son knowing his name, anyone who asked what's your name my son said his full name, plus he was already learning the letters of his name - Plus the fact that I have proof by way of text messages this is a way for him to make my life difficult - ""you won't be able to go on holiday"" and text stating my ex feels he will be able to gain with my son having his name "" once I am on the birth certificate I will be able to get on the council"" - so I broke the court order hold my hands up. BUT HE ALSO BROKE THE CONTACT ORDER - HE FAILED TO ARRIVE - So he took me back to court during which the idiotic magistrates AWARDED him first price for failing to arrive - they removed all the supported contacts and lengthened the time. When I protested "" the child is that much older - NO his 5 he is sill a baby, who is gullible, easily manipulated. and the second part of his award is I now have to do a reasonable excuse hearing for the name change - the magistrates can only offer 1 reason to change my son’s surname ""to provide linkage to father"" IF YOU TURN UP< BE PRESENT>BE FUN>BUILD A RELATIONSHIP would be a good place to start - I have a whole list against. Has anyone got any advise because it would seem these people have zero interest in anything I have to say"
"How to handle title/mortgage","Would love some advice from MN on a house purchase. I have recently found a house I would love to buy in the perfect location, near DC's school etc. I am planning to use my inheritance and all my savings as deposit (70% LTV) but mortgage is tricky as my income is very low, taking time off work due to disabled DC. I can technically get a mortgage together with DH but he will be contributing nothing financially. As my income is a fraction of his and unlikely to increase much, I will be putting myself at high risk in case of a split of assets (hopefully not, but you never know). I plan to sell in a decade and downsize taking my savings back. How do I ensure legally that the property will be mine and I am able to take the equity for myself in case something goes wrong in our marriage? Any advice to protect myself is welcome!"
"Why can't I just get past this?","During my upbringing, I was simultaneously told that I needed to be married in order to have any hope of living a meaningful existence but that I lacked any of the physical qualities to attract a man and also that I lacked any of the other qualities (submissiveness, compliance etc) to make up for that fact but that getting married (and changing myself so that that might be possible) was the only thing I needed to focus on. Education and a career was a waste of time because men weren't interested in those things. Even though if all the above were true, I'd need to he able to support myself, surely. But no, the best I could hope for is that I dampen down who I am, become as inoffensive and middle of the road as possible and hope that someone, who had exhausted all other options, might settle for me. I'm appoproaching my 50s now. Because the above was such a deeply entrenched core belief, I've never really had a real relationship. I've dated and had flings but, because I always knew that I wasn't LTR material, I never took them seriously or ever regarded any of them as potentially long term and tended to end relationships after 6 months. I've now, finally, been in a relationship for 18 months. He's great. But I still can't get away from the past. Because I don't have a perfect body, because I don't have a beautiful face, because I'm not unopinionated, docile, compliant etc I can't imagine how he could possibly be genuinely interested. I can't see how he is not comparing me to others and being constantly disappointed, I believe he is settling for me because he's concluded that, at his age, he probably isnt going to do any better. I've had counselling and therapy. Logically, I know that the above was wrong. I don't apply the same standards to other people. I'm pretty confident in every other area of life but because I'm not what I'm 'supposed' to be, I feel none of everything else I am matters. But I'm so harshly critical of myself. Even when I'm feeling good and positive about myself and confident, that little voice pops up reminding me of the ways in which I fail and the confidence just dissipates. Even if I try and ignore it, or use positive self talk to quieten it. It's too late and the damage is done."
"ECG holter report - can someone explain the report.","For a colleague , currently they are on LTS and have a review with HR, who have asked for an update on their health. They can’t get an GP appointment until after the HR appointment so asking if anyone can translate the report for them, as they are wanting to go back to work ASAP. They were in bed mostly during the 48 hr monitoring due to being ill (no fever). On day 5/6 of a winter bug (they basically slept for the most part) Both the colleagues GP and the work OH (doctor) have signed colleague off as not fit for work however they may be able to return if the report is normal as they can be put on medication to treat/help ongoing symptoms while investigations by consultant are ongoing. The medication however can cause heart issues however not recommended as colleague has episodes of heart palpitations/fluttering/unconscious passing out. The report says also no symptoms reported however colleague did advise the nurse that they had experienced fluttering. Can anyone help with the report please"
"To think I shouldn't be fussy about picking a job if I'm unemployed?","I'm unemployed with a 9 month career gap for various reasons. I have 4 interviews this week for the same/similar positions but at different companies. I'm grateful to have even been given an interview as I know a career gap is pretty frowned upon, and I know how awful the current job market is. The thing is I'm not sure if I'm being naive/dumb to ignore red flags. For example: One of the jobs is at a tiny company (<10 employees), and completely remote. Because it's such a small and new company there are no employee reviews available online so I don't know what it's like to work there. It's also a 'private' company (I don't know what that means) Another has consistently bad Glassdoor reviews from people who I would be working with and people with the same job title I'd have saying it's a toxic, bullying culture with toxic management. This was the role I'm most interested in but the reviews are putting me off... I did interview with this company a couple of years ago and found the interviewers seemed rude and disinterested (despite giving me a job offer after which I declined) The other 2 have average Glassdoor reviews and are average roles, nothing particularly standout about them. High workloads, long hours and the expectation to work late but that's pretty standard for the area of work I'm in. Do you think I should just go for all of these opportunities as I am unemployed or would that be a mistake?"
"What can I challenge as a trustee? Is this legal? Conflict of interest?","I'm a trustee of a trust which benefits from dividends from a Ltd company (the trust is one of 5 shareholders of the company). There are 2 other trustees and both have recently been appointed as directors of this company. Without notifying me they have started paying themselves (they don't know that I know yet). The amount that they are paying themselves equates to more than last year's dividends paid to the trust. So my questions are ...what can I challenge as a trustee? Do they have a conflict of interest as a result of paying themselves? Should I have been notified or even had a say in their decision to pay themselves. Note - only the 'first-named trustee' gets to vote as a shareholder. I'm not the first-named trustee. Thank you!"
"To reconcile or not to reconcile","…that is the question 😂 I posted a little while ago about finding my partner was searching on Google that he doesn’t find me attractive since having our baby. How I had seen that he was also searching “is it cheating if I imagine I’m with other women when having sex with my partner” and “I have to fantasise about other women when I have sex with my partner.” It hurt me so much as we’ve only been together 2 years and at the time I was 7 months post partum and feeling awful about my body as it was. So I didn’t react well and we ended up having a massive fight where he said he loves me but the lust/desire has gone, so I kicked him out. I was blindsided by the way he felt, we had sex daily and he made me feel wanted and lusted after. Although he was struggling to keep erect during sex and I did start to wonder if it was to do with me, but he insisted it wasn’t and made out he was suffering with ED. But clearly it wasn’t that it was how he felt about me! Instead of leaving quietly for a few days (we live together at mine but he has his own flat he can go to), he called his family and involved all of them in our private drama. Then stayed with family for a short while playing the victim that I kicked him out (obv not saying why) before going back to his own flat. He spent about a week trying to win me back, and he went to 1 counselling session as a way of saying he will change the way he thinks and behaves - there are other issues too that come from his abusive childhood that need to be ironed out in counselling. But after more arguments in that first week we weren’t talking at all and he then went out on a work do (which was just a lunch) and was gone out for 10 hours whilst I was caring for our sick baby at home. So we argued again as I felt like he was behaving like he was single and happy we were over, and so yet again it was back to not talking. Since that taste of freedom he got, he was cold and horrible towards me, telling me he only cares about our daughter. He has also seemed fine with the split even though now he says he’s not and was devastated. He was really distant towards me, which yes may be because of all the arguments - I also said hurtful things like it was a mistake to ever be with him - so I don’t really knock him for that. But at one point I tried to reconcile and he seemed very cold and again more arguing occurred because of this. We are in the third week now and I find out that he’s got a new flat and moved 30 mins away from me and our baby and doesn’t see it as a big deal as he’s now closer to work. He also signed back up to dating sites and was messaging women. A friend saw him on there and sent me the screenshot. He denied it initially until I showed him proof. But since then he apologised for doing it and has been saying all the right things about how he loves me and we can work on this for our baby and how everything’s got out of hand. That he was only trying to move on as I initiated the split and that he would have never ended the relationship if he’d had a choice. Part of me would love to reconcile, but part of me feels like had I not reached out over him on dating sites he would have never even tried. Also the original issue - that he isn’t attracted to me - still stands. Although he is adamant that he is, it was just him being stupid and the thrill of imagining I’m another woman - which makes me sick. I have agreed to go to counselling - whether it brings us back together or not I feel it’s important for our daughter to be amicable. Does this seem fixable? Was it all a bit over the top of me to LTB or do you genuinely think that it’s something that can’t be worked past. Just wanting to hear from anyone who’s had trust and hurt and managed to reconcile? I mean I know people can come back from worse things than this, I’m just concerned he was 1 step away from cheating on me with how he felt. Worst part is after 3 weeks of trying to keep it private in the hope of a reconciliation, I finally told my family and friends (after dealing with it alone for so long) and now they all hate him so this makes a reconciliation even harder."
"Finnish Study: found no convincing evidence that gender-referred youth have statistically significantly higher suicide rates as compared to the general population","https://mentalhealth.bmj.com/content/27/1/e300940.info https://segm.org/Suicide-Gender-Dysphoric-Adolescent-Young-Adult-Finland-2024 Summary A recent study published in BMJ Mental Health, All-cause and suicide mortalities among adolescents and young adults who contacted specialised gender identity services in Finland in 1996–2019, analyzed overall mortality and suicide mortality among gender-referred young people in Finland over a 25-year time span (n=2,083; median age 19 years; median follow-up 5.7 years). The study defined young people as those referred to gender services under the age of 23. The study found that suicide among young people <23 (""youth"") seeking gender services in Finland is an unusual event (0.3%, or 0.51 per 1,000 person-years). Further, in comparing gender-referred youth to a cohort of matched controls (n=16,643), the study found no convincing evidence that gender-referred youth have statistically significantly higher suicide rates as compared to the general population, after controlling for psychiatric needs. The study also did not detect a statistically significant association between gender reassignment and the risk of suicide. The study did, however, find a statistically significant relationship between a high rate of co-occurring mental health difficulties and increased suicide. The authors concluded that ""it is of utmost importance to identify and appropriately treat mental disorders in adolescents experiencing GD [gender dysphoria] to prevent suicide, while also noting that ""the risk of suicide-related to transgender identity and/or GD per se may have been overestimated."""
"How to stop bickering!!?","Name change for this! Married 7 years, together for 10, two young children under 3, the youngest is 7 months old. I'm just exhausted with our constant bickering. We do love each other, I'm sure of that, and this is not a LTB situation. We just seem to niggle and bicker constantly. We are both exhausted with two very bad sleepers, very little family support, my DH has a stressful job and works lots of hours. He's not around much during the week during the kids waking hours. I'm just tired. I don't feel like we are a team. We aren't even affectionate because I have a baby glued to my boob and I feel touched out. He does pull his weight but the bulk falls to me. I don't feel that we laugh and have fun much, we don't have the time even for a conversation some days. I just don't know how to get 'us' back. Does it just come back in time? I am confident we will weather the storm but if anyone has any tips on how to stop niggling and get on better, I'm all ears ;("
"To LTB for eating the ice cream? (Lighthearted. Ish.)","Preface - DP is fabulous. We are very much a team. OR SO I THOUGHT. We have two DC - DD who is 3 and a demanding tantrum filled threenager, and DS who is 3.5 months. DP is currently in the US for 2+ weeks for work. In the week before he left we went to the shops and I picked up a Ben and Jerry's low fat ice cream tub which I had tried previously and really enjoyed; I pointed this out to him at the shop when I popped it in the trolley. I didn't specifically buy it for me, we generally share these things after dinner. We didn't eat it before he left. Today and this evening have been haaaard work with various meltdowns and screaming fits, and so after a struggle to get DD to bed I thought I know, I'll get DS down then pour myself a glass of wine and eat the ice cream. Note - I would have replaced the ice cream before DP's return for him to also enjoy one evening. I would not have hidden the fact that I'd eaten the ice cream. But.... It's not bloody there!!! He's bloody eaten it and not even told me!! He knows I'm here with the two kids, by myself. He could have let me know he'd eaten it! WIBU to LTB over this? Seriously reconsidering our upcoming nuptials... 😂"
"Read this - amazing advice!","I just want to come on here to commend this column to everyone - https://www.theguardian.com/lifeandstyle/2023/jul/30/my-wife-and-i-argue-so-much-but-she-will-not-go-to-counselling-philippa-perry#comment-163752842 This letter to Philippa Perry could have been written by me a few years ago. My husband and I argued about everything and anything (although obviously it was always the same thing really!) He was 'wrong', and I was 'right' (even when I admitted he was right, but just expressed it in totally the wrong way!) He treated me very badly, and yet I didn't want to just LTB - we have children who need us together if at all possible (I really believe this, unless in the case of horrible abuse, obvs.). So I needed a way of staying together but us both improving, and our situation and quality of life improving. So we both went to therapy, separately and together, and the stuff we have learnt reflects so much of what Philippa Perry writes in her amazing book and in this column. What I learnt was that I couldn't change him, but could always work on myself and my own reactions to what he did and said. This isn't the same as blaming myself for his poor behaviour. But it means taking responsibility for my own feelings and reactions. We still argue. We're still different. Our sex life isn't the best. But we're getting there. And as PP says in this reply, there are reasons we were attracted to people who were different from ourselves. The key changers for me have been: to really look at myself and be curious about my own feelings and where they come from, what triggers are being set off, etc. Why am I feeling hurt, superior, arrogant, upset, etc. even when he has acted poorly, not to focus on that alone but to look for the good in him. Making him the enemy had the effect that he acted worse. Focusing on his good points was key to breaking the cycle. to be able to distance myself from my own anxiety about how he acts, and hold in tension the idea that 'yes he is acting badly, but I don't need to let it affect me to the extent I used to. It doesn't need to hurt me as much as it did'. Keeping on 'breaking the cycle'. Sometimes one of us has to back down even when it's not 'fair'. But the result overall is win/win for everyone. I know it sounds like I am excusing him, but actually, the net effect of all this has been that we have both started treating each other so much better, and things are really improving. We have been through years of unhappiness, but genuinely don't have that now. I wanted to post this because I'm sure there are people out there on MN like me - not really satisfied with our marriages but not jumping to the usual MN 'LTB' solution, which I know would just be a different sort of horror - for me and our kids. But also needing to move forward positively. I hope this helps. Not really interested in anyone coming on to criticise or rain on this - just to say please do have a read of Philippa Perry if you haven't before!"
"Did you tell them?","So I've recently split from my LTR of 10 years, I've been unhappy for some time and I've tried talking to him about our issues many times. Big one is intimacy, he wanted it I didn't, among others ranging from being negative about everything, not bothering round the house, and generally just being a passenger in his own life and leaving me to drive. I just wanted more and have for some time. No kids BtW. Anyway 4 months ago I started to engage in an EA with someone at work, not sugar coating it I knew what I was doing, and thats when I really started to feel the issues in my relationship and feel terribly unhappy with DP. I told DP I wasn't in love with him, I wasn't happy any longer and wanted out. I'm not 100% sure if the OM was just the push to the inevitable or if I actually want someone else. Now 2 months later ex is still devastated and can't understand what went wrong, he's going to my family members and crying and saying he doesn't know what he did wrong and what he should do to fix it. I don't want to go back to him, I want to move on, but question is should I tell him there was someone else just to give him some closure? Will it help him move on or will it just hurt him more?"
